sequence_id,movie_id,start_shot_idx,end_shot_idx,start_time_sec,end_time_sec,start_time_hms,end_time_hms,shot_count,total_sec,avg_shot_sec,utterance_count,active_speakers,active_speaker_count,speaker_changes,cast_pid_union,cast_count_max,match_source_counts,match_coverage,subtitle_preview,visual_action_score,camera_cue_count,gaze_verb_count,movement_cue_count,scene_heading_count,scene_boundary_count,script_action_preview,score
tt0032138_seq_0282_0290,tt0032138,282,290,3007.338,3023.437,00:50:07.338,00:50:23.437,9,16.099,1.789,9,"[""DOROTHY"", ""LION"", ""SCARECROW"", ""TIN MAN""]",4,6,"[""nm0000023"", ""nm0001961"", ""nm0355095"", ""nm0481618""]",2,"{""raw_dp"": 9}",1.0,"Put your hands up, you lopsided bag of hay! That's getting personal, Lion. Yes, get up and teach him a lesson. What's wrong with you teaching him? Well, l hardly know him. [BARKING] Well, l'll get you anyway, peewee. Well, l'll get you anyway, peewee. [LION GROWLlNG]",10.0,9,1,2,0,0,"CU -- Dorothy looks out from around tree -- reacts -- LION o.s. Afraid, huh? MCS -- Lion and Tin Man -- Lion speaks and laughs -- CAMERA PANS him to left to Scarecrow -- Dorothy in b.g. CS -- Scarecrow reacts -- speaks -- MCU -- Tin Man reacts -- speaks -- MLS -- Lion and Dorothy -- Toto runs into shrubs -- Lion starts after him -- Dorothy picks...",42.1
tt0032138_seq_0526_0531,tt0032138,526,531,5012.883,5028.44,01:23:32.883,01:23:48.440,6,15.557,2.593,7,"[""DOROTHY"", ""LION"", ""SCARECROW"", ""TIN MAN""]",4,2,"[""nm0000023"", ""others""]",1,"{""raw_dp"": 6}",1.0,"LlON: lt's us! -Yes! It's me! She's locked me in! LlON: We gotta get her out! Open the door! Oh, hurry! Please hurry! The hourglass is almost empty! TIN MAN: Stand back! TIN MAN: Stand back!",10.0,25,3,7,0,0,"MS -- Int. Tower Room -- Dorothy standing by window -- she reacts to hearing Lion o.s. -- CAMERA PANS, TRUCKS with her as she runs to the door -- yells -- LION o.s. It's us! MCS -- Int. Hallway -- The Lion speaks to Scarecrow and Tin Man as they move excitedly about -- CS -- Int. Tower Room -- Dorothy at door -- she pleads to the three on the ou...",35.75
tt0032138_seq_0143_0146,tt0032138,143,146,1797.546,1809.057,00:29:57.546,00:30:09.057,4,11.512,2.878,6,"[""DOROTHY"", ""GLINDA"", ""WITCH""]",3,2,"[""nm0000023"", ""nm0000992"", ""nm0002121""]",2,"{""raw_dp"": 4}",1.0,"They're gone! The ruby slippers! What have you done with them? Give them back to me or l'll-- It's too late! There they are, and there they'll stay! It's too late! There they are, and there they'll stay! [GASPS]",10.0,7,4,1,0,0,"MS -- The Witch of the East's legs protruding from underneath the wrecked house -- the ruby slippers disappear and the stockings are drawn back under the house -- CS -- The Witch reacts as she looks down -- then turns, looks back to o.s. f.g. -- speaks -- MLS -- The Witch kneeling down by the house -- she rises, CAMERA TRUCKS her right to Doroth...",35.2
tt0032138_seq_0219_0223,tt0032138,219,223,2404.36,2418.958,00:40:04.360,00:40:18.958,5,14.598,2.92,7,"[""FIRST TREE"", ""SCARECROW"", ""TREE""]",3,3,"[""nm0000023"", ""nm0001961""]",2,"{""raw_dp"": 5}",1.0,"Are you hinting my apples aren't what they ought to be? Oh, no! lt's just that she doesn't like little green worms. Oh, no! lt's just that she doesn't like little green worms. Oh, you! Oh, you! [DOROTHY SCREAMING] [WHlSPERS] I'll show you how to get apples.",10.0,5,1,2,0,0,"MCU -- Scarecrow and Dorothy react, speak as they look o.s. at the tree -- MCU -- The Tree reacts, makes a grab for the two o.s. -- SCARECROW o.s. ...worms! MLS -- The First Tree grabs for the two -- the Scarecrow fights him off as Dorothy runs out to right f.g. -- the Scarecrow follows her out -- MCS -- Dorothy -- the Scarecrow backs in from le...",35.0
tt0032138_seq_0636_0638,tt0032138,636,638,5554.257,5573.359,01:32:34.257,01:32:53.359,3,19.102,6.367,8,"[""DOROTHY"", ""WIZARD""]",2,2,"[""nm0000023"", ""nm0001961"", ""nm0604656""]",3,"{""raw_dp"": 3}",1.0,"You force me into a cataclysmic decision. The only way to get Dorothy to Kansas is for me to take her myself. [GASPS] Oh, will you? Could you? Oh! But are you clever enough to manage it? But are you clever enough to manage it? Child, you cut me to the quick! I'm an old Kansas man myself... ...born and bred in the western wilderness...",10.0,6,3,0,0,0,"MCU - The Wizard protests - mumbles as he starts to look into the bag - MS -- The Wizard rummages through the bag as Dorothy and the others look on -- he finds nothing, so he speaks encouragingly of what he'll do - CAMERA TRUCKS forward slightly - ...to manage it? CU -- Dorothy is pleased -- looks about at the others -- WIZARD o.s. ...bred in th...",34.8663
tt0032138_seq_0590_0593,tt0032138,590,593,5226.972,5244.239,01:27:06.972,01:27:24.239,4,17.267,4.317,7,"[""DOROTHY"", ""LEADER"", ""WINKIES""]",3,3,"[""nm0000023"", ""nm0001961"", ""nm0355095"", ""nm0481618"", ""others""]",3,"{""raw_dp"": 4}",1.0,"She's dead. You've killed her. I didn't mean to kill her. Really, l didn't. It's just that he was on fire. Hail to Dorothy! The Wicked Witch is dead! GUARDS: Hail! Hail to Dorothy! The Wicked Witch is dead! GUARDS: Hail! Hail to Dorothy! The Wicked Witch is dead! The broom.",9.5,3,1,4,0,0,"CS -- Lion, Tin Man, Dorothy and Scarecrow looking down o.s. amazed -- CS -- Shooting down to the Witch's cloak and hat smoldering on the floor -- Toto enters from left and sniffs at them -- CAMERA PULLS back slightly as Nikko enters, growls -- CS -- Leader of Winkies speaks to the Four o.s. in f.g. -- other Winkies in b.g. -- CS -- Lion, Tin Ma...",34.8
tt0032138_seq_0135_0137,tt0032138,135,137,1761.51,1780.779,00:29:21.510,00:29:40.779,3,19.269,6.423,6,"[""DOROTHY"", ""GLINDA"", ""WITCH""]",3,2,"[""nm0000023"", ""nm0000992"", ""nm0002121""]",2,"{""raw_dp"": 3}",1.0,"I thought you said she was dead. That was her sister, the Wicked Witch of the East. This is the Wicked Witch of the West. She's worse than the other one was. Who killed my sister? Who killed the Witch of the East? Was it you? No. No, it was an accident. I didn't mean to kill anybody.",10.0,7,3,2,0,0,Tra la la tra la la Tra la la la la la.. . . . . . CS -- Witch -- looks o.s. to Munchkins -- Munchkins in b.g. -- react and run -- CAMERA BOOMS left with Witch to farm house -- she looks at Witch of the East's feet protruding from under the farm house -- Ext. Civic Center of Munchkin Village -- MCS -- Dorothy and Glinda -- Dorothy holding Toto a...,33.9885
tt0032138_seq_0179_0184,tt0032138,179,184,2093.55,2112.402,00:34:53.550,00:35:12.402,6,18.852,3.142,8,"[""DOROTHY"", ""SCARECROW""]",2,4,"[""nm0000023"", ""nm0001961""]",2,"{""raw_dp"": 6}",1.0,"How can you talk if you haven't got a brain? How can you talk if you haven't got a brain? I don't know. But some people without brains do a lot of talking, don't they? Yes, l guess you're right. Well, we haven't really met properly, have we? Why, no. -How do you do? -How do you do?",8.058,5,0,2,0,0,"MCS -- Dorothy questions the Scarecrow o.s. in f.g. -- ...brain? MCS -- Dorothy nods, speaks -- MLS -- Dorothy steps over the fence and into the cornfield -- speaks as she steps up to the Scarecrow -- CAMERA STARTS forward -- MCU -- Scarecrow -- CS -- Dorothy curtsies, speaks -- MCU -- Scarecrow speaks to Dorothy o.s.in f.g. -- DOROTHY o.s. CS -...",33.7986
tt0032138_seq_0265_0267,tt0032138,265,267,2925.381,2945.109,00:48:45.381,00:49:05.109,3,19.728,6.576,9,"[""DOROTHY"", ""TIN MAN""]",2,1,"[""nm0000023"", ""nm0001961"", ""nm0355095""]",3,"{""raw_dp"": 3}",1.0,"And bears! And bears! Lions and tigers and bears! Oh, my! Lions and tigers and bears! Oh, my! [SINGlNG] Lions and tigers and bears! Oh, my! Lions and tigers and bears! Oh, my! Lions and tigers and bears! Oh, my! Lions and tigers and bears! Oh, my! [LION ROARlNG]",10.0,11,2,2,0,0,CU -- Tin Man looks o.s. -- speaks -- MCS -- Tin Man -- Dorothy and Scarecrow -- Dorothy frightened -- Lions and tigers and bears! TIN MAN -- SCARECROW AND DOROTHY LS -- Lion on fallen tree -- Dorothy -- Scarecrow and Tin Man in f.g. on brick road -- the lion jumps toward them -- CAMERA TRUCKS back as they three move back -- the Lion takes two g...,32.562
tt0032138_seq_0612_0615,tt0032138,612,615,5347.384,5363.567,01:29:07.384,01:29:23.567,4,16.183,4.046,5,"[""DOROTHY"", ""LION"", ""SCARECROW"", ""WIZARD""]",4,3,"[""nm0000023"", ""nm0481618"", ""nm0604656""]",3,"{""raw_dp"": 4}",1.0,"-You humbug! -Yeah. Yes, that's exactly so. l'm a humbug. You're a very bad man! Oh, no, my dear. l'm a very good man. I'm just a very bad wizard.",6.754,5,0,0,0,0,"MCS -- Dorothy and her three friends react -- Camera shooting past the Wizard at left -- the Scarecrow and Lion speak angrily -- CS -- Wizard -- shooting past Dorothy, the Lion and Scarecrow -- the Wizard speaks -- MCU -- Dorothy -- Tin Man and Scarecrow behind her -- MCU - Scarecrow and Dorothy - Scarecrow threatens the Wizard o.s. - MCS -- Tin...",32.3778
