word,norm,start,end
that's,that's,0.19,0.65
right,right,0.65,1.0
here,here,1.0,1.44
sit,sit,1.91,2.34
right,right,2.34,2.63
down,down,2.63,2.99
here,here,2.99,3.36
that's,that's,3.51,3.89
it,it,3.89,4.13
ha,ha,4.26,4.52
ha,ha,4.58,4.75
this,this,5.16,5.49
this,this,5.49,5.7
is,is,5.98,6.34
the,the,6.34,6.44
same,same,6.44,6.84
genuine,genuine,6.84,7.53
magic,magic,7.9,8.559999
authentic,authentic,8.669999,9.39
crystal,crystal,9.39,9.959999
used,used,10.35,10.759999
by,by,10.759999,10.96
the,the,10.96,11.09
priests,priests,11.09,11.47
of,of,11.47,11.61
isis,isis,11.61,12.129999
and,and,12.129999,12.33
osiris,osiris,12.33,12.91
in,in,12.91,12.98
the,the,12.98,13.089999
days,days,13.089999,13.440001
of,of,13.440001,13.53
the,the,13.53,13.63
pharaohs,pharaohs,13.63,14.17
of,of,14.17,14.3
egypt,egypt,14.3,14.779999
in,in,15.299999,15.449999
which,which,15.449999,15.79
cleopatra,cleopatra,16.01,16.73
first,first,16.73,17.029999
saw,saw,17.029999,17.249998
the,the,17.249998,17.4
approach,approach,17.4,17.859999
of,of,17.859999,17.989998
julius,julius,17.989998,18.440001
caesar,caesar,18.440001,18.790001
and,and,18.790001,18.959999
marc,marc,18.959999,19.299999
anthony,anthony,19.299999,19.789999
and,and,19.789999,20.169998
and,and,20.559999,20.82
so,so,20.82,21.039999
on,on,21.039999,21.269999
and,and,21.269999,21.4
so,so,21.4,21.619999
on,on,21.619999,21.829998
now,now,22.41,22.780001
you,you,23.809999,24.23
you'd,you'd,24.529999,24.73
better,better,24.73,24.949999
close,close,24.949999,25.309999
your,your,25.309999,25.51
eyes,eyes,25.51,25.84
my,my,25.84,26.049999
child,child,26.049999,26.439999
for,for,26.439999,26.589998
a,a,26.589998,26.66
moment,moment,26.66,27.1
in,in,27.1,27.209999
order,order,27.209999,27.469999
to,to,27.799999,27.939999
be,be,27.939999,28.23
better,better,28.35,28.669998
in,in,28.669998,28.83
tune,tune,28.83,29.379999
with,with,29.769999,30.049999
the,the,30.049999,30.309999
infinite,infinite,30.43,31.209999
we,we,31.66,31.950001
we,we,33.110001,33.490002
can't,can't,33.519997,33.900002
do,do,33.900002,34.119999
these,these,34.119999,34.450001
things,things,34.450001,34.810001
without,without,34.810001,35.239998
