word,norm,start,end
when,when,0.0,0.1
a,a,0.1,3.0
man's,man's,3.03,3.7
an,an,3.7,3.9
empty,empty,3.9,4.34
kettle,kettle,4.34,4.84
he,he,5.36,5.579999
should,should,5.579999,6.01
be,be,6.01,6.22
on,on,6.22,6.51
his,his,6.58,6.79
mettle,mettle,6.79,7.23
and,and,7.87,8.01
yet,yet,8.01,8.320001
i'm,i'm,8.320001,8.559999
torn,torn,8.759999,9.02
apart,apart,9.02,10.28
just,just,11.99,12.349999
because,because,12.349999,12.99
i'm,i'm,12.99,13.49
presumin,presumin,13.59,14.190001
that,that,14.33,14.66
i,i,14.66,14.79
could,could,14.79,15.22
be,be,15.22,15.36
kind,kind,15.36,15.9
a,a,15.9,16.119999
human,human,16.15,16.689999
if,if,16.689999,17.050001
i,i,17.050001,17.439999
only,only,17.49,18.1
had,had,18.190001,18.370001
a,a,18.370001,20.82
heart,heart,21.129999,21.23
i'd,i'd,21.23,21.529999
be,be,21.529999,21.669998
tender,tender,21.669998,22.17
i'd,i'd,22.27,22.649998
be,be,22.649998,22.76
gentle,gentle,22.76,23.290001
and,and,23.759998,23.969999
awful,awful,23.969999,24.66
sentimental,sentimental,24.66,25.52
regarding,regarding,26.109999,26.939999
love,love,26.939999,27.199999
and,and,27.199999,27.329998
art,art,27.360001,28.539999
i'd,i'd,30.169998,30.610001
be,be,30.610001,30.829998
friends,friends,30.829998,31.389999
with,with,31.389999,31.639999
sparrows,sparrows,31.639999,31.939999
