word,norm,start,end
that's,that's,0.18,0.63
right,right,0.63,1.0
here,here,1.0,1.41
sit,sit,1.93,2.31
right,right,2.31,2.63
down,down,2.63,3.02
here,here,3.02,3.36
that's,that's,3.57,3.88
it,it,3.88,4.13
ha,ha,4.25,4.56
ha,ha,4.59,4.76
this,this,5.16,5.49
this,this,5.49,5.7
is,is,5.98,6.33
the,the,6.33,6.45
same,same,6.45,6.85
genuine,genuine,6.85,7.53
magic,magic,7.9,8.44
authentic,authentic,8.66,9.4
crystal,crystal,9.4,9.969999
used,used,10.339999,10.76
by,by,10.76,10.96
the,the,10.96,11.09
priests,priests,11.09,11.47
of,of,11.47,11.61
isis,isis,11.61,12.12
and,and,12.12,12.34
osiris,osiris,12.34,12.91
in,in,12.91,12.98
the,the,12.98,13.099999
days,days,13.099999,13.44
of,of,13.44,13.54
the,the,13.54,13.63
pharaohs,pharaohs,13.63,14.17
of,of,14.17,14.31
egypt,egypt,14.31,14.759999
in,in,15.279999,15.45
which,which,15.45,15.77
cleopatra,cleopatra,16.029999,16.719999
first,first,16.719999,17.019999
saw,saw,17.019999,17.25
the,the,17.25,17.4
approach,approach,17.4,17.859999
of,of,17.859999,17.989998
julius,julius,17.989998,18.469999
caesar,caesar,18.469999,18.779999
and,and,18.779999,18.959999
marc,marc,18.959999,19.289999
anthony,anthony,19.289999,19.789999
and,and,19.789999,20.169998
and,and,20.559999,20.85
so,so,20.880001,21.08
on,on,21.08,21.27
and,and,21.27,21.41
so,so,21.41,21.82
on,on,21.92,22.120001
now,now,22.419998,22.76
you,you,23.809999,24.269999
you'd,you'd,24.539999,24.73
better,better,24.73,24.969999
close,close,24.969999,25.309999
your,your,25.309999,25.51
eyes,eyes,25.51,25.84
my,my,25.84,26.049999
child,child,26.049999,26.439999
for,for,26.439999,26.589998
a,a,26.589998,26.66
moment,moment,26.66,27.1
in,in,27.1,27.209999
order,order,27.209999,27.469999
to,to,27.799999,27.939999
be,be,27.939999,28.219999
better,better,28.34,28.68
in,in,28.68,28.83
tune,tune,28.83,29.41
with,with,29.77,30.049999
the,the,30.049999,30.299999
infinite,infinite,30.519999,31.199999
we,we,31.65,31.93
we,we,33.099998,33.489998
can't,can't,33.519997,33.91
do,do,33.91,34.119999
these,these,34.149998,34.409996
things,things,34.409996,34.810001
without,without,34.810001,35.239998
